LOC107984912	0	0	0
ZBTB48	243	0	243
KLHL21	540	0	540
LOC107984913	2	0	2
PHF13	482	0	482
THAP3	186	701	194
DNAJC11	832	9	1532
LINC01672	0	0	0
LOC124904847	0	0	0
CAMTA1-DT	4	0	4
CAMTA1	439	1	438
LOC124903832	6	0	6
CAMTA1-AS3	0	0	0
CAMTA1-IT1	0	0	0
CAMTA1-AS2	0	0	0
CAMTA1-AS1	0	0	0
LOC105376691	0	0	0
LOC105376689	0	0	0
VAMP3	1654	0	1654
PER3	58	0	70
LOC124903833	1	13	0
UTS2	0	0	0
TNFRSF9	12	0	12
PARK7	3616	1	3615
LOC124903834	7	0	7
ERRFI1	1058	1	1057
ERRFI1-DT	4	0	4
LOC107984915	1	0	1
LINC01714	2	0	2
LOC105376695	4	0	4
LINC03154	0	0	0
SLC45A1	0	0	0
RERE	1003	0	1003
RERE-AS1	1	1	0
SNORD128	0	0	0
LOC124900452	0	0	0
ENO1	52975	9	52977
MIR6728	0	0	0
ENO1-AS1	17	24	4
LINC03153	0	0	0
CA6	0	0	0
SLC2A7	3	0	3
SLC2A5	51	0	51
LOC124900441	0	0	0
GPR157	339	2	337
MIR34AHG	92	2	93
MIR34A	0	0	0
LNCTAM34A	5	1	7
H6PD	1070	2	1068
LOC124903836	3	2	1
SPSB1	322	0	322
LINC02606	6	0	6
SLC25A33	219	0	219
TMEM201	423	0	423
LOC124903837	1	0	1
PIK3CD	83	34	88
LOC105376712	0	0	0
PIK3CD-AS1	0	0	0
PIK3CD-AS2	1	0	1
LOC124903839	0	5	0
CLSTN1	2973	4	3003
CTNNBIP1	96	0	186
CTNNBIP1-AS1	0	47	0
LOC105376717	0	43	0
LOC124903838	3	0	3
LZIC	305	3	311
NMNAT1	177	9	177
TMEM274P	1	1	0
MIR5697	0	0	0
LOC124903840	0	0	0
RBP7	0	0	0
UBE4B	923	0	923
KIF1B	813	7	806
PGD	2925	2	2923
CENPS-CORT	0	0	0
CENPS	2	0	2
CORT	5	4	1
DFFA	1071	0	1071
PEX14	456	1	455
CASZ1	188	1	187
LOC105376733	0	0	0
LOC105376735	0	0	0
CIROZ	1	0	1
TARDBP	3384	4	3389
MASP2	9	18	0
SRM	1591	0	1591
EXOSC10	1839	22	1925
EXOSC10-AS1	0	89	19
MTOR	1695	2	1777
MTOR-AS1	0	82	0
LOC124904848	0	0	0
ANGPTL7	0	2	0
UBIAD1	341	0	341
LOC105376737	0	0	0
LOC105376739	0	0	0
LOC105376740	0	0	0
LOC124903841	0	0	0
DISP3	5	0	5
