"","SRR31732086.ReadsPerGene.out.tab","SRR31732087.ReadsPerGene.out.tab","SRR31732088.ReadsPerGene.out.tab","SRR31732089.ReadsPerGene.out.tab","SRR31732090.ReadsPerGene.out.tab","SRR31732091.ReadsPerGene.out.tab"
"PRDM16",1,1,0,3,1,0
"MIR4251",0,0,0,0,0,0
"LOC105378606",0,0,0,0,0,0
"LOC107984909",0,0,0,0,1,0
"LOC105378605",0,0,0,0,0,0
"LOC124903828",0,0,0,0,0,1
"LOC105378604",0,0,0,0,0,0
"ARHGEF16",454,463,568,605,531,541
"MEGF6",555,466,587,685,543,563
"LOC105378608",0,2,4,0,1,4
"MIR551A",0,0,0,0,0,0
"TPRG1L",364,330,424,536,427,531
"WRAP73",286,301,296,284,259,349
"TP73",3,5,0,3,11,9
"TP73-AS3",0,0,2,1,0,0
"TP73-AS2",0,0,0,0,0,0
"GFOD3P",316,279,391,380,316,294
"CCDC27",0,0,0,1,0,0
"SMIM1",18,15,14,22,17,21
"LRRC47",812,783,949,903,770,897
"CEP104",347,333,385,307,249,319
"LOC124903829",2,3,1,1,2,2
"DFFB",85,101,108,104,87,91
"C1orf174",230,195,245,225,207,203
"LINC01134",5,5,15,5,4,4
"LINC01346",0,0,0,0,0,0
"LINC01345",0,0,0,0,0,0
"LINC02780",0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0
"LOC105376674",0,0,0,0,0,0
"LOC124904578",0,0,0,0,0,0
"LINC01646",0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0
"LINC02781",0,0,0,0,0,0
"LOC124904589",0,0,0,0,0,0
"LOC102724429",0,0,0,0,0,0
"LINC02782",0,0,0,0,0,0
"LOC105376682",0,0,0,0,0,0
"LOC124904590",0,0,0,0,0,0
"LOC107984911",0,0,0,0,0,0
"LOC105376686",0,0,0,0,0,0
"LOC124900451",0,0,0,0,0,0
"LOC124903830",0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0
"NPHP4",259,278,396,411,377,375
"KCNAB2",272,255,331,472,406,441
"LOC124903831",1,0,0,1,3,0
"CHD5",11,3,20,7,4,1
"RPL22",3426,3295,4111,4319,3578,3051
"RNF207-AS1",6,14,12,11,5,10
"RNF207",266,247,358,335,308,314
"ICMT",1837,1544,2048,1504,1154,1513
"ICMT-DT",24,22,24,15,11,16
"HES3",0,1,0,0,0,0
"GPR153",382,355,387,539,447,485
"ACOT7",711,587,624,939,763,933
"HES2",227,219,188,307,282,293
"ESPN",77,86,100,306,234,238
"MIR4252",0,0,0,0,0,0
"TNFRSF25",45,30,55,61,61,63
"PLEKHG5",144,151,161,193,160,162
"NOL9",187,177,261,289,219,196
"TAS1R1",1,1,0,1,0,1
"LOC107984912",0,0,0,0,0,0
"ZBTB48",175,196,180,243,199,199
"KLHL21",532,506,720,540,459,597
"LOC107984913",6,4,2,2,2,2
"PHF13",374,338,429,482,392,431
"THAP3",195,169,208,186,159,179
"DNAJC11",697,622,950,832,708,783
"LINC01672",0,0,0,0,0,0
"LOC124904847",0,0,0,0,0,0
"CAMTA1-DT",9,7,15,4,12,5
"CAMTA1",327,335,388,439,392,363
"LOC124903832",2,1,2,6,2,2
"CAMTA1-AS3",0,0,0,0,0,0
"CAMTA1-IT1",0,0,0,0,0,0
"CAMTA1-AS2",0,0,0,0,0,0
"CAMTA1-AS1",0,1,0,0,0,0
"LOC105376691",0,0,0,0,2,0
"LOC105376689",0,0,0,0,0,0
"VAMP3",1137,1075,1340,1654,1230,1236
"PER3",89,104,94,58,54,45
"LOC124903833",1,0,1,1,0,0
"UTS2",0,1,0,0,0,1
"TNFRSF9",12,14,4,12,7,9
"PARK7",3052,3086,3845,3616,3046,2911
"LOC124903834",6,10,19,7,7,11
"ERRFI1",778,668,1099,1058,787,646
"ERRFI1-DT",1,3,1,4,1,1
"LOC107984915",1,1,2,1,0,0
"LINC01714",1,0,0,2,0,0
"LOC105376695",0,0,0,4,0,0
"LINC03154",0,0,0,0,0,0
"SLC45A1",3,0,2,0,1,0
"RERE",867,760,1012,1003,897,860
"RERE-AS1",0,0,1,1,0,0
"SNORD128",0,0,0,0,0,0
"LOC124900452",0,0,0,0,0,0
"ENO1",42960,41427,59158,52975,43625,51150
"MIR6728",0,0,1,0,0,0
"ENO1-AS1",18,19,40,17,30,39
"LINC03153",0,0,0,0,0,0
"CA6",0,1,0,0,0,0
"SLC2A7",1,2,4,3,0,1
"SLC2A5",23,37,31,51,66,59
"LOC124900441",0,0,0,0,0,0
"GPR157",285,252,309,339,331,317
"MIR34AHG",67,53,95,92,68,63
"MIR34A",0,0,0,0,0,0
"LNCTAM34A",4,0,1,5,3,8
"H6PD",930,747,1052,1070,848,930
"LOC124903836",1,1,0,3,0,2
"SPSB1",302,234,388,322,301,410
"LINC02606",7,5,2,6,5,6
"SLC25A33",176,171,213,219,187,231
"TMEM201",281,267,390,423,387,403
"LOC124903837",0,2,3,1,0,0
"PIK3CD",92,57,70,83,67,79
"LOC105376712",0,0,0,0,0,0
"PIK3CD-AS1",0,0,0,0,0,0
"PIK3CD-AS2",0,2,0,1,2,2
"LOC124903839",0,0,0,0,0,0
"CLSTN1",2858,2713,3746,2973,2572,3256
"CTNNBIP1",101,68,102,96,61,86
"CTNNBIP1-AS1",0,0,0,0,0,0
"LOC105376717",0,1,0,0,1,0
"LOC124903838",1,0,1,3,0,0
"LZIC",253,175,328,305,236,234
"NMNAT1",167,176,185,177,112,126
"TMEM274P",0,0,1,1,0,1
"MIR5697",0,1,0,0,0,0
"LOC124903840",0,0,0,0,0,0
